EVENT_ID,EPISODE_ID,DAMAGE_PROPERTY,DAMAGE_PROPERTY_UNIT,DAMAGE_CROP,DAMAGE_CROP_UNIT
791304,132253,0.00,K,0.00,K
791319,132263,0.00,K,0.00,K
791320,132264,0.00,K,0.00,K
791321,132264,0.00,K,0.00,K
791322,132264,0.00,K,0.00,K
791323,132264,0.00,K,0.00,K
791324,132265,0.00,K,0.00,K
791325,132265,0.00,K,0.00,K
791326,132265,0.00,K,0.00,K
791368,132272,0.00,K,0.00,K
795809,132272,0.00,K,0.00,K
795813,132272,0.00,K,0.00,K
795818,132272,0.00,K,0.00,K
795822,132272,0.00,K,0.00,K
791482,132288,0.00,K,0.00,K
791484,132288,0.00,K,0.00,K
791578,132299,,,0.00,K
791579,132299,,,0.00,K
791580,132299,,,0.00,K
791581,132299,,,0.00,K
791582,132299,,,0.00,K
791583,132299,0.00,K,0.00,K
791649,132306,0.00,K,0.00,K
791650,132307,0.00,K,0.00,K
802120,132315,0.00,K,0.00,K
791875,132325,,,0.00,K
792052,132325,0.00,K,0.00,K
792061,132325,0.00,K,0.00,K
792069,132325,0.00,K,0.00,K
792073,132325,0.00,K,0.00,K
792075,132325,0.00,K,0.00,K
792172,132325,0.00,K,0.00,K
792178,132325,0.00,K,0.00,K
792180,132325,0.00,K,0.00,K
792183,132325,0.00,K,0.00,K
792185,132325,0.00,K,0.00,K
792192,132325,0.00,K,0.00,K
792197,132325,0.00,K,0.00,K
792199,132325,0.00,K,0.00,K
792202,132325,0.00,K,0.00,K
792682,132325,0.00,K,0.00,K
792685,132325,0.00,K,0.00,K
792687,132325,0.00,K,0.00,K
792690,132325,500.00,K,0.00,K
792692,132325,,,0.00,K
792694,132325,,,0.00,K
792696,132325,,,0.00,K
792701,132325,0.00,K,0.00,K
792703,132325,0.00,K,0.00,K
792705,132325,0.00,K,0.00,K
792707,132325,0.00,K,0.00,K
791767,132327,0.00,K,0.00,K
791770,132327,0.00,K,0.00,K
791771,132327,0.00,K,0.00,K
791772,132327,0.00,K,0.00,K
791773,132327,0.00,K,0.00,K
791778,132327,0.00,K,0.00,K
