FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
38341,817354,D,06/06/2019,97,M,Outside/Open Areas
38480,819069,D,06/09/2019,45,M,Vehicle/Towed Trailer
38532,820152,D,06/20/2019,,M,In Water
38559,820397,D,06/22/2019,48,M,In Water
38568,820556,D,06/23/2019,41,M,In Water
38569,820556,D,06/23/2019,59,M,In Water
38973,823215,D,06/21/2019,22,M,Boating
38967,823241,D,06/21/2019,48,F,Vehicle/Towed Trailer
38815,824254,D,06/10/2019,83,M,Outside/Open Areas
38816,824286,I,06/10/2019,14,M,In Water
38817,824287,D,06/08/2019,33,M,In Water
38818,824288,I,06/11/2019,34,M,In Water
38837,825640,D,06/30/2019,,F,In Water
38838,825810,D,06/08/2019,71,M,In Water
38843,826063,D,06/30/2019,,,Vehicle/Towed Trailer
38851,826316,D,06/23/2019,50,F,Outside/Open Areas
38966,829480,D,06/16/2019,59,F,Vehicle/Towed Trailer
38978,832399,D,06/21/2019,31,F,Other
38984,832414,D,06/21/2019,65,F,In Water
38980,832420,D,06/06/2019,29,M,Other
38983,832432,D,06/27/2019,64,F,In Water
38992,833717,I,06/09/2019,55,F,Boating
38993,833747,D,06/09/2019,29,F,Permanent Structure
39246,835231,D,06/23/2019,64,F,Permanent Home
39006,836615,D,06/06/2019,31,M,Outside/Open Areas
39007,836615,I,06/06/2019,78,M,Outside/Open Areas
39008,836615,I,06/08/2019,86,M,Permanent Home
39015,836622,D,06/13/2019,53,M,Unknown
39016,836622,I,06/14/2019,81,M,Unknown
39009,836622,I,06/11/2019,49,M,Outside/Open Areas
39010,836622,D,06/12/2019,53,M,Outside/Open Areas
39011,836622,D,06/12/2019,46,M,Outside/Open Areas
39012,836622,D,06/12/2019,43,M,Outside/Open Areas
39013,836622,I,06/13/2019,74,F,Outside/Open Areas
39014,836622,D,06/13/2019,47,M,Outside/Open Areas
39017,836624,D,06/14/2019,52,M,Outside/Open Areas
39019,836625,I,06/20/2019,51,M,Unknown
39018,836625,D,06/18/2019,26,M,Permanent Structure
39020,836626,D,06/24/2019,72,M,Outside/Open Areas
39022,836627,D,06/30/2019,81,F,Unknown
39021,836627,I,06/30/2019,60,M,Outside/Open Areas
39251,837662,I,06/18/2019,26,M,In Water
39252,837666,I,06/19/2019,16,M,In Water
39253,837675,I,06/23/2019,23,,In Water
39250,839173,D,06/30/2019,39,M,Under Tree
39714,858720,I,12/01/2019,,,Outside/Open Areas
39283,840706,D,06/21/2019,1,F,Vehicle/Towed Trailer
39281,841056,D,06/22/2019,4,M,Vehicle/Towed Trailer
39301,841235,D,06/23/2019,64,F,Vehicle/Towed Trailer
39302,841246,D,06/23/2019,62,M,Vehicle/Towed Trailer
39320,841554,D,06/21/2019,38,M,Vehicle/Towed Trailer
39315,841676,D,06/17/2019,40,M,Vehicle/Towed Trailer
39316,841752,I,06/01/2019,,M,Vehicle/Towed Trailer
39715,858866,I,12/05/2019,,,Unknown
39720,859399,I,12/07/2019,,,Vehicle/Towed Trailer
38952,828322,D,03/21/2019,61,M,Vehicle/Towed Trailer
40040,856471,D,09/19/2019,47,M,Vehicle/Towed Trailer
40045,863827,D,06/06/2019,21,M,Outside/Open Areas
38997,835579,D,05/13/2019,20,M,Vehicle/Towed Trailer
39764,860326,D,12/12/2019,65,M,Outside/Open Areas
40631,860437,I,12/15/2019,21,M,Vehicle/Towed Trailer
39957,862699,D,12/17/2019,51,M,Vehicle/Towed Trailer
39967,863280,I,12/25/2019,51,M,Vehicle/Towed Trailer
40647,863635,D,12/24/2019,,M,In Water
40092,863947,I,12/24/2019,44,M,Outside/Open Areas
40093,863947,I,12/24/2019,56,F,Outside/Open Areas
40241,864941,D,12/24/2019,,M,In Water
40440,866820,D,12/06/2019,69,M,In Water
38924,824183,D,05/03/2019,74,F,Vehicle/Towed Trailer
39548,824193,D,05/08/2019,58,M,Outside/Open Areas
39356,825251,D,07/09/2019,35,M,In Water
38853,826570,D,07/14/2019,36,M,Outside/Open Areas
38856,826858,I,07/05/2019,,M,Under Tree
38925,828940,D,05/03/2019,55,M,Vehicle/Towed Trailer
39561,837611,D,07/20/2019,38,F,Outside/Open Areas
39323,842419,D,07/17/2019,21,M,Vehicle/Towed Trailer
39399,847664,D,07/22/2019,34,M,Outside/Open Areas
39453,848346,I,07/13/2019,34,M,In Water
39451,848403,I,07/24/2019,9,M,In Water
39455,848407,I,07/17/2019,48,F,In Water
39470,848556,D,07/30/2019,18,M,In Water
39481,848847,D,07/31/2019,22,M,In Water
39564,855043,D,06/23/2019,0,,Outside/Open Areas
39565,855043,D,06/23/2019,25,F,Outside/Open Areas
39566,855043,D,06/23/2019,0,,Outside/Open Areas
39567,855043,D,06/23/2019,3,,Outside/Open Areas
