EPISODE_ID,EVENT_ID,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME
142648,856504,EF1,1.96,150,,,,
136200,817339,EF1,1.52,125,,,,
136200,817330,EF0,4.12,100,,,,
136467,819060,EF1,2.94,150,,,,
135065,809459,EF1,1.1,50,,,,
135059,809407,EF0,2.58,50,,,,
137188,823536,EF0,1.19,80,,,,
140548,844803,EF2,13,200,,,,
135097,809709,EF1,0.25,25,,,,
140548,844804,EF0,5.7,75,,,,
140548,844805,EF0,0.1,75,,,,
139356,838233,EFU,0.66,100,,,,
139359,838272,EFU,1.29,100,,,,
134769,807760,EF2,6.2,400,,,,
137704,827278,EF0,0.39,50,,,,
135721,829881,EFU,1.68,50,,,,
137239,823752,EF1,2.2,170,,,,
135721,832949,EF0,0.8,50,,,,
141300,848645,EF0,1,10,,,,
142648,856477,EF2,2.48,265,,,,
142648,856502,EF1,6.02,500,FWD,TX,397,ROCKWALL
142648,856503,EF0,0.18,170,,,,
135423,812121,EF0,0.03,50,,,,
135426,812122,EF0,0.32,50,,,,
132387,792082,EF1,0.23,90,,,,
132386,792085,EF0,0.15,35,,,,
135329,811498,EF0,0.39,50,,,,
135738,815578,EF1,2.52,150,,,,
135738,815581,EF1,1.03,200,,,,
135738,815575,EF1,10,900,,,,
137747,827859,EF0,0.34,50,,,,
133917,801579,EF1,0.61,125,,,,
132642,803186,EF1,0.8,50,,,,
133020,795947,EF0,0.07,6.67,,,,
134140,803295,EF1,1.7,112,,,,
133896,802444,EF1,1.4,250,,,,
134140,803243,EF1,5.26,75,BMX,AL,1,AUTAUGA
132910,795219,EF1,4.5,75,,,,
133267,802646,EFU,0.06,25,,,,
132587,793391,EF1,0.25,20,,,,
133020,796257,EF0,0.54,6.67,,,,
134140,803245,EF1,9.08,400,,,,
133896,802445,EF0,2.72,150,,,,
133896,802446,EF1,2.45,150,,,,
132955,795472,EF0,0.49,175,,,,
133896,802448,EF0,0.26,50,,,,
134140,803244,EF0,0.87,75,,,,
133805,800737,EF1,2.8,400,,,,
134140,803261,EF2,18.11,700,,,,
134322,804696,EF0,0.44,100,,,,
134325,804729,EF0,0.22,25,,,,
136483,819110,EF1,0.93,100,,,,
142648,856507,EF1,0.53,500,,,,
134743,807391,EF0,0.75,25,,,,
137807,863413,EFU,0.25,75,,,,
142648,856506,EF0,0.13,50,,,,
142648,856508,EF0,0.63,200,,,,
134743,807395,EFU,0.96,25,,,,
142648,856510,EF0,4.8,500,,,,
139354,865960,EFU,0.01,50,,,,
142646,862733,EF0,0.54,25,,,,
133341,797836,EF0,0.24,30,,,,
142954,857863,EFU,1,25,,,,
137807,863414,EF2,6,350,,,,
139171,837047,EF1,6.73,150,,,,
137933,829390,EF0,0.83,150,,,,
134106,802985,EF1,2.43,150,LZK,AR,85,LONOKE
134106,802987,EF1,3.92,150,,,,
132592,793434,EF1,1.2,75,,,,
132592,810679,EF1,0.25,40,,,,
133856,804167,EF1,11.07,112,,,,
134504,805912,EF1,9.86,125,,,,
134504,805913,EF0,1.25,100,,,,
134504,805911,EF0,0.68,75,,,,
134885,808447,EF1,5.12,300,,,,
135151,810121,EF1,7.84,350,,,,
135461,812402,EF0,1.46,75,,,,
134106,802988,EF1,8.38,300,LZK,AR,117,PRAIRIE
134106,802989,EF1,2.42,300,,,,
134106,802992,EF1,3.92,100,LZK,AR,117,PRAIRIE
134106,802994,EF1,1.23,100,,,,
134504,805915,EF0,0.35,100,PAH,KY,101,HENDERSON
134885,810796,EF0,3.37,75,TAE,GA,61,CLAY
135084,809814,EF1,5.01,550,,,,
135813,815063,EF0,0.62,40,,,,
134942,812823,EF1,0.75,250,,,,
134887,810788,EF1,4.14,150,,,,
142428,854996,EF1,5.05,300,,,,
134520,806023,EF2,10.3,250,,,,
134887,810794,EF2,2.68,800,,,,
134886,810819,EF0,0.66,50,,,,
133570,799230,EF0,0.47,150,,,,
134877,808523,EF0,0.01,25,,,,
134877,808532,EF0,0.27,50,,,,
134504,805914,EF0,2.27,50,,,,
134552,810899,EF0,2.96,300,,,,
133985,802419,EF2,15.19,350,,,,
134026,802347,EFU,1.66,125,,,,
135949,815950,EF0,0.43,10,,,,
133287,797470,EF1,4.22,500,,,,
134942,812822,EF1,2.3,250,,,,
142428,854995,EF1,0.29,300,SHV,AR,27,COLUMBIA
142378,854764,EF0,0.8,150,,,,
134886,810820,EF0,11.93,400,,,,
133986,802649,EF2,14.7,880,,,,
134504,805916,EF0,0.88,100,,,,
